┼进制	十进制
想望丰采	想望风采
想象	想像
想象不出	想像不出
想象的	想像的
想象丰富	想像丰富
想象空间	想像空间
想象力	想像力
想象能力	想像能力
想象中	想像中
想象中的	想像中的
想信党	相信党
向後地	向后地
向偶	向隅
向偶而泣	向隅而泣
项练	项链
项庄午剑	项庄舞剑
项庄舞剑意在沛公	项庄舞剑，意在沛公
象不象	像不像
象差	像差
象传	相传
象话	像话
象爬虫	像爬虫
象煞有介事	像煞有介事
象生	像生
象什么似地	像什么似地
象素	像素
象他那样	像他那样
象样	像样
象样的	像样的
象样儿	像样儿
象章	像章
象这样	像这样
象怔主义	象征主义
象徵	象征
象徵性	象征性
象徵主义	象征主义
像胶	橡胶
像貌	相貌
像心適意	像心适意
像形文字	象形文字
像征	象征
削销笔	削铅笔
削趾適屦	削趾适屦
削足適履	削足适履
消防拴	消防栓
消魂	销魂
消极悲极	消极悲观
消谴	消遣
消溶	消融
消声匿迹	销声匿迹
消遥	逍遥
消遥自在地	逍遥自在地
鸮心鸝舌	鸮心鹂舌
萧洒	潇洒
销货帐	销货账
销殻	销壳
销歇	消歇
销脏	销赃
销脏灭迹	销赃灭迹
销帐	销账
箫芳芳	萧芳芳
小步午曲	小步舞曲
小部份	小部分
小车不倒尽管推	小车不倒只管推
小儿痲痹	小儿麻痹
小幅盘升	小幅攀升
小侯儿	小猴儿
小夥子	小伙子
小傢伙	小家伙
小腊烛	小蜡烛
小俩口	小两口
小偏宜	小便宜
小气侯	小气候
小时侯	小时候
小题大作	小题大做
小玩艺	小玩意
小玩艺儿	小玩意儿
肖规曹随	萧规曹随
肖墙祸起	萧墙祸起
肖象	肖像
肖象画	肖像画
效犹	效尤
校仇	校雠
校规松驰	校规松弛
笑喝喝	笑呵呵
笑咪咪	笑眯眯
笑容可鞠	笑容可掬
笑涡	笑窝
笑著地	笑着地
啸吒风云	啸咤风云
斅学相长	敩学相长
协从不问	胁从不问
邪门外道	邪门歪道
邪魔歪道	邪魔外道
胁持	挟持
胁肩絫足	胁肩累足
胁嫌	挟嫌
胁嫌报复	挟嫌报复
挟肩谄笑	胁肩谄笑
挟天子以令诸候	挟天子以令诸侯
斜气	邪气
缬氨酸	赖氨酸
写字枱	写字台
卸傤	卸载
谢霆峰	谢霆锋
邂逅相迂	邂逅相遇
心不在然	心不在焉
心弛神往	心驰神往
心荡神移	心荡神怡
心浮气燥	心浮气躁
心甘情原	心甘情愿
心狠手棘	心狠手辣
心慌撩乱	心慌缭乱
心恢	心灰
心恢意懒	心灰意懒
心火上炎	心火上炙
心惊胆颤	心惊胆战
心旷神移	心旷神怡
心劳日绌	心劳日拙
心律不整	心律不齐
心满原足	心满愿足
心如刀剉	心如刀锉
心术不止	心术不正
心无旁鹜	心无旁骛
心细於发	心细于发
心想字成	心想事成
心心相应	心心相印
心移	心怡
心忧未甘	心尤未甘
心犹未甘	心尤未甘
心有余力而不足	心有余而力不足
心有馀悸	心有余悸
心悦成服	心悦诚服
心照不喧	心照不宣
心中偶象	心中偶像
心中无私天地宽	心底无私天地宽
忻忻得意	欣欣得意
辛辛学子	莘莘学子
欣尝	欣赏
新愁旧恨	新仇旧恨
新发於硎	新发于硎
新淦	新干
新罕布夏州	新罕布什尔州
新华社报导	新华社报道
新昏宴尔	新婚宴尔
新疆维吾尔自治区	新疆维吾尔族自治区
新民主义革命	新民主主义革命
新闻报导	新闻报道
新鲜疏菜	新鲜蔬菜
新行势	新形势
新颍	新颖
新喻	新余
新州区	新洲区
薪尽火佳	薪尽火传
馨竹难书	罄竹难书
信而有徵	信而有征
信号肽	信号台
信口开呵	信口开河
信口开合	信口开河
信马游缰	信马由缰
衅发肖墙	衅发萧墙
衅起肖墙	衅起萧墙
釁稔恶盈	衅稔恶盈
兴废存之	兴废存亡
兴高彩烈	兴高采烈
兴帅问罪	兴师问罪
兴妖做怪	兴妖作怪
星罗旗布	星罗棋布
星欺六	星期六
星星之火可以燎原	星星之火，可以燎原
惺松	惺忪
惺惺做态	惺惺作态
腥风雪雨	腥风血雨
行百里者半於九十	行百里者半于九十
行不改姓坐不改名	行不改姓，坐不改名
行不更名坐不改姓	行不更名，坐不改姓
行成於思	行成于思
行单影只	形单影只
行迹可疑	形迹可疑
行迹无定	形迹无定
行色怱怱	行色匆匆
行同陌路	形同陌路
行险徼幸	行险侥幸
行嶮侥幸	行险侥幸
行行色色	形形色色
行有馀力	行有余力
行衏	行院
行政区画	行政区划
行踪鬼秘	行踪诡秘
形单影支	形单影只
形容举丧	形容沮丧
形色憔灼	形色焦灼
形相模糊	形象模糊
形像记忆	形象记忆
形像思维	形象思维
型制	形制
型制古朴	形制古朴
醒忪	惺忪
醒松	惺忪
性格粗旷	性格粗犷
性格怪癖	性格怪僻
性格崛强	性格倔强
性情急燥	性情急躁
倖灾乐祸	幸灾乐祸
凶相必露	凶相毕露
凶涌	汹涌
凶涌澎湃	汹涌澎湃
兄弟阋于墙外御其侮	兄弟阋于墙，外御其侮
芎藭	芎䓖
汹酒	酗酒
汹酒滋事	酗酒滋事
汹涌彭湃	汹涌澎湃
汹涌淜湃	汹涌澎湃
胸无成府	胸无城府
胸象	胸像
胸有邱壑	胸有丘壑
雄辨	雄辩
雄纠纠	雄赳赳
雄踞一方	雄据一方
雄心豹胆	熊心豹胆
休士顿	休斯敦
休斯顿	休斯敦
修词学	修辞学
修定	修订
修茸	修葺
修茸一新	修葺一新
修息	休息
修养生息	休养生息
修证	修正
羞花闲目	羞花闲月
羞愧难挡	羞愧难当
羞涩蒙眬	羞涩朦胧
羞于为伍	羞与为伍
脩辞立诚	修辞立诚
脩身洁行	修身洁行
朽棘不彫	朽棘不雕
朽木难彫	朽木难雕
秀才不出门全知天下事	秀才不出门，全知天下事
秀外惠中	秀外慧中
绣象	绣像
袖手傍观	袖手旁观
溴化乙锭	溴化乙啶
褎然居首	褎然举首
虚渡年华	虚度年华
虚怀偌谷	虚怀若谷
虚幻飘渺	虚幻缥缈
虚无漂渺	虚无飘渺
虚无漂缈	虚无飘渺
虚无缥渺	虚无缥缈
虚无飘渺	虚无缥缈
虚无恬惔	虚无恬淡
虚象	虚像
虚座以待	虚左以待
嘘嘘	吁吁
诩诩如生	栩栩如生
栩诩如生	栩栩如生
序时帐	序时账
叙文	序文
叙言	序言
畜妻养子	蓄妻养子
蓄牧业	畜牧业
轩然人波	轩然大波
宣宾夺主	喧宾夺主
宣染	渲染
暄宾夺主	喧宾夺主
諠客夺主	喧客夺主
悬灯结采	悬灯结彩
悬狟素飡	悬狟素餐
悬梁刺骨	悬梁刺股
悬鞀建铎	悬鼗建铎
悬崕峭壁	悬崖峭壁
悬系鱼	悬龟系鱼
旋涡	漩涡
漩风	旋风
漩流	旋流
漩涡急流	旋涡急流
漩涡险水	旋涡险水
漩涡星云	旋涡星云
选妓徵歌	选妓征歌
选色徵歌	选色征歌
选舞徵歌	选舞征歌
泫然泪下	潸然泪下
昡曜	炫耀
炫材扬己	炫才扬己
绚斓	绚烂
绚斓多彩	绚烂多彩
绚丽多采	绚丽多彩
眩碧成硃	眩碧成朱
眩目的光	炫目的光
眩目惊心	炫目惊心
眩目震耳	炫目震耳
眩人眼目	炫人眼目
眩耀	炫耀
衒材扬己	炫材扬己
衒玉贾石	炫玉贾石
衒玉求售	炫玉求售
衒玉自售	炫玉自售
渲泄	宣泄
靴统	靴筒
学而不思则罔	学而不思则惘
学老於年	学老于年
学然后知不足教然后之困	学然后知不足，教然后之困
学如不及犹恐失之	学如不及，犹恐失之
学识休养	学识修养
学书不成学剑不成	学书不成，学剑不成
踅子	茓子
雪笳	雪茄
雪笳香烟	雪茄香烟
雪里蕻	雪里红
血红旦白	血红蛋白
血流如柱	血流如注
血青素	血清素
血肉糢糊	血肉模糊
血肉相联	血肉相连
谑浪笑敖	谑浪笑傲
熏衣草	薰衣草
薰染	熏染
薰陶	熏陶
寻根究抵	寻根究底
寻欢做乐	寻欢作乐
寻邬	寻乌
寻序	循序
寻序渐进	循序渐进
巡线追踪	循线追踪
询谋谘度	询谋咨度
洵阳	旬阳
荀延残喘	苟延残喘
栒邑	旬邑
循肠	热肠
循规导矩	循规蹈矩
循规蹈距	循规蹈矩
循规距蹈	循规蹈矩
循名覈实	循名核实
循诵習传	循诵习传
循序见进	循序渐进
训服了它	驯服了它
训戒	训诫
训炼	训练
徇国	殉国
徇国忘身	殉国忘身
徇私午弊	徇私舞弊
殉情枉法	徇情枉法
殉情枉心	徇情枉心
殉私	徇私
殉私废公	徇私废公
殉私枉法	徇私枉法
殉私舞弊	徇私舞弊
殉私作弊	徇私作弊
丫鬟	丫环
压宝	押宝
压伏	压服
压仰	压抑
压韵	押韵
压诈	压榨
压诈贫民	压榨贫民
压诈平民	压榨平民
呀呀学语	牙牙学语
鸦鹊无声	鸦雀无声
鸦俗共赏	雅俗共赏
桠杈	丫杈
桠枝	丫枝
椏杈	丫杈
椏枝	丫枝
牙尖嘴俐	牙尖嘴利
牙卖加	牙买加
牙隐裂	牙龈裂
哑巴吃黄莲	哑巴吃黄连
哑叭	哑巴
哑吧	哑巴
雅格布森	雅各布森
雅格布逊	雅各布逊
雅鲁茂布江	雅鲁藏布江
雅片	鸦片
雅温得	雅温德
亚里斯多德	亚里士多德
亚力山大	亚历山大
亚细亚州	亚细亚洲
亚洲纪录	亚洲记录
揠旗息鼓	偃旗息鼓
烟波浩淼	烟波浩渺
烟布	烟幕
烟色蒙眬	烟色朦胧
烟簑雨笠	烟蓑雨笠
烟雾蒙眬	烟雾朦胧
烟雾迷漫	烟雾弥漫
烟煴	氤氲
淹没不闻	湮没无闻
淹没无闻	湮没无闻
淹淹一息	奄奄一息
闫王好见	阎王好见
严陈以待	严阵以待
严惩不怠	严惩不贷
严辞	严词
严辞回绝	严词回绝
严刑峻罚	严刑峻法
严以律己宽以待人	严以律己，宽以待人
妍红	嫣红
言必信，信必果	言必信，行必果
言必行行必果	言必行，行必果
言不由中	言不由衷
言词	言辞
言多伤倖	言多伤幸
言骨柳筋	颜骨柳筋
言幾析理	言几析理
言简意该	言简意赅
言简意骇	言简意赅
言近指远	言近旨远
言谈恢谐	言谈诙谐
言者无罪，闻者四月戒	言者无罪，闻者足戒
言者无罪，闻者足诫	言者无罪，闻者足戒
言者无罪闻者足戒	言者无罪，闻者足戒
言者谆谆听者藐藐	言者谆谆，听者藐藐
言之不渝	言之不预
言之无文行而不远	言之无文，行而不远
言之谆谆听之藐藐	言之谆谆，听之藐藐
沿门挂钵	沿门托钵
沿门讬钵	沿门托钵
沿木求鱼	缘木求鱼
炎皇	炎黄
炎皇子孙	炎黄子孙
研幾探赜	研几探赜
研幾析理	研几析理
盐硷地	盐碱地
盐硷滩	盐碱滩
盐硷土	盐碱土
阎世锋	阎世铎
阎王好见小鬼难当	阎王好见，小鬼难当
阎王帐	阎王账
颜色降紫	颜色绛紫
偃兵脩文	偃兵修文
偃苗助长	揠苗助长
掩耳盗锺	掩耳盗钟
掩口葫芦	掩口胡卢
掩茂	掩藏
掩旗息鼓	偃旗息鼓
掩掩一息	奄奄一息
眼不著砂	眼不着砂
眼关四路	眼观四路
眼观鼻鼻观心	眼观鼻，鼻观心
眼观四路耳听八方	眼观四路，耳听八方
眼花潦乱	眼花缭乱
眼花撩乱	眼花缭乱
眼急手快	眼疾手快
眼中钉肉中刺	眼中钉，肉中刺
揜口胡卢	掩口胡卢
演讲辞	演讲词
演武修文	偃武修文
演译	演绎
演译归纳	演绎归纳
宴安酖毒	宴安鸩毒
宴安鸠毒	宴安鸩毒
晏安酖毒	宴安鸩毒
晏会	宴会
艳如桃李冷若冰霜	艳如桃李，冷若冰霜
雁断鱼沈	雁断鱼沉
滟滪	滟滪堆
燕安酖毒	宴安鸩毒
燕安鸩毒	宴安鸩毒
燕巢於幕	燕巢于幕
燕尔	宴尔
燕尔新婚	宴尔新婚
燕鴴	燕鸻
燕足繫诗	燕足系诗
扬常	扬长
扬常而去	扬长而去
扬清激烛	扬清激浊
扬搉	扬榷
羊癫疯	羊癫风
羊很狼贪	羊狠狼贪
羊痫疯	羊痫风
阳关三迭	阳关三叠
杨朱泣岐	杨朱泣歧
杨硃泣岐	杨朱泣歧
飏汤止沸	扬汤止沸
洋泾滨语	洋泾浜语
洋琴	扬琴
洋菸	洋芋
洋洋得意	扬扬得意
洋洋纚纚	洋洋洒洒
洋洋自得	扬扬自得
仰臣	仰卧
仰臣起坐	仰卧起坐
仰人鼻总	仰人鼻息
仰事俛畜	仰事俯畜
养兵千日用兵一时	养兵千日，用兵一时
养兒代老，积穀防饥	养儿待老，积谷防饥
养兒待老，积穀防饥	养儿待老，积谷防饥
养兒防老	养儿防老
养兒防老，积穀防饥	养儿防老，积谷防饥
养虎饴患	养虎遗患
养虎贻患	养虎遗患
养虎自齧	养虎自啮
养精畜锐	养精蓄锐
养军千日用在一时	养军千日，用在一时
养痛畜疽	养痛蓄疽
养鹰飏去	养鹰扬去
养痈贴患	养痈贻患
养痈贻患	养痈遗患
养子防老，积穀防饥	养子防老，积谷防饥
氧化诰	氧化锆
幺小丑	幺么小丑
夭桃穠李	夭桃秾李
妖治娴都	妖冶娴都
腰支	腰肢
谣言惑众	妖言惑众
摇脣鼓喙	摇唇鼓喙
摇脣鼓舌	摇唇鼓舌
摇控	遥控
摇头幌脑	摇头晃脑
摇摇欲堕	摇摇欲坠
遥无音信	杳无音信
遥相互应	遥相呼应
杳无黄鹤	杳如黄鹤
咬文齧字	咬文啮字
要功	邀功
要功求赏	邀功求赏
要击	邀击
要末	要么
要想人不知，除非已莫为	要想人不知，除非己莫为
要胁	要挟
要言不繁	要言不烦
要帐	要账
耶酥教	耶稣教
也象	也像
冶练	冶炼
野草閒花	野草闲花
野鹤閒云	野鹤闲云
野火烧不尽春风吹又生	野火烧不尽，春风吹又生
业精於勤	业精于勤
叶落之秋	叶落知秋
夜朗自大	夜郎自大
夜色蒙胧	褒色朦胧
夜色蒙眬	夜色朦胧
夜消	夜宵
夜巡逰	夜巡游
鄴架之藏	邺架之藏
一班半点	一斑半点
一爆十寒	一暴十寒
一杯黄土	一抔黄土
一笔钩断	一笔勾销
一笔抹摋	一笔抹煞
一笔抹煞	一笔抹杀
一笔抹消	一笔抹杀
一碧万倾	一碧万顷
一鞭先著	一鞭先着
一表人材	一表人才
一表堂堂	仪表堂堂
一波未平一波又起	一波未平，一波又起
一不压众百不随一	一不压众，百不随一
一步一趋	亦步亦趋
一部份	一部分
一差二悮	一差二误
一倡百和	一唱百和
一倡三叹	一唱三叹
一倡一和	一唱一和
一朝权在手便把令来行	一朝权在手，便把令来行
一愁莫展	一筹莫展
一触既发	一触即发
一蹴而易	一蹴而就
一定份量	一定分量
一方有难，八方支持	一方有难，八方支援
一方有难八方支援	一方有难，八方支援
一佛出世二佛涅槃	一佛出世，二佛涅槃
一夫当关，万夫莫当	一夫当关，万夫莫开
一夫当关万夫莫开	一夫当关，万夫莫开
一夫挡关，万夫莫开	一夫当关，万夫莫开
一夫挡关万夫莫开	一夫当关，万夫莫开
一幅对联	一副对联
一杆子插到底	一竿子插到底
一杆子到底	一竿子到底
一个萝卜一个眼	一个萝卜一个坑
一个头两个大	一个头，两个大
一孤之腋	一狐之腋
一古	一股
一古脑	一股脑
一古脑儿	一股脑儿
一股作气	一鼓作气
一鼓做气	一鼓作气
一穀不登	一谷不登
一穀不升	一谷不升
一轰而上	一哄而上
一弘清泉	一泓清泉
一閧而散	一哄而散
一火	一伙
一夥人	一伙人
一见顷心	一见倾心
一见衷情	一见钟情
一见锺情	一见钟情
一箭双鵰	一箭双雕
一将功成万古枯	一将功成万骨枯
一颗红心两种准备	一颗红心，两种准备
一口同声	异口同声
一壸千金	一壶千金
一览无馀	一览无余
一劳永易	一劳永逸
一雷惊蜇	一雷惊蛰
一麟半爪	一鳞半爪
一溜湮	一溜烟
一码当先	一马当先
一码领先	一马领先
一脉相成	一脉相承
一面之辞	一面之词
一命鸣呼	一命呜呼
一命呜乎	一命呜呼
一年被蛇咬十年怕井绳	一年被蛇咬，十年怕井绳
一诺千斤	一诺千金
一拍即和	一拍即合
一嚬一笑	一颦一笑
一曝十寒	一暴十寒
一乾二净	一干二净
一切就序	一切就绪
一窃不通	一窍不通
一丘之骆	一丘之貉
一邱之貉	一丘之貉
一去不复反	一去不复返
一犬吠形百犬吠声	一犬吠形，百犬吠声
一人传虚万人传实	一人传虚，万人传实
一人得道鸡犬升天	一人得道，鸡犬升天
一人善射百夫决拾	一人善射，百夫决拾
一人之下万人之上	一人之下，万人之上
一人做事，一人担	一人做事一人担
一日不见如隔三秋	一日不见，如隔三秋
一日万幾	一日万几
一如即往	一如既往
一如继往	一如既往
一生不吭	一声不吭
一手独拍虽疾无声	一手独拍，虽疾无声
一手交钱一手交货	一手交钱，一手交货
一树百穫	一树百获
一丝不荀	一丝不苟
一塌胡涂	一塌糊涂
一榻胡涂	一塌糊涂
一榻糊涂	一塌糊涂
一踏糊涂	一塌糊涂
一蹋糊涂	一塌糊涂
一台手机	一个手机
一条面包	一个面包
一望无银	一望无垠
一窝风	一窝蜂
一相情愿	一厢情愿
一厢情原	一厢情愿
一言不和	一言不合
一言而蔽之	一言一蔽之
一言即出，驷马难追	一言既出，驷马难追
一言既出驷马难追	一言既出，驷马难追
一叶蔽目不见泰山	一叶蔽目，不见泰山
一叶障目不见泰山	一叶障目，不见泰山
一夜知秋	一叶知秋
一一例举	一一列举
一以惯之	一以贯之
一应具全	一应俱全
一则以喜一则以惧	一则以喜，一则以惧
一张一驰	一张一弛
一张一驰，文武之道	一张一弛，文武之道
一招不慎满盘皆输	一招不慎，满盘皆输
一枕黄梁	一枕黄粱
一支花	一枝花
一至於此	一至于此
一至於斯	一至于斯
一炷香	一柱香
一着	一招
一着被蛇咬三年怕井绳	一着被蛇咬，三年怕井绳
一着不慎，全盘皆输	一招不慎，全盘皆输
一着不慎满盘皆输	一着不慎，满盘皆输
一子出家，七祖昇天	一子出家，七祖升天
一字千斤	一字千金
伊比利半岛	伊比利亚半岛
伊尔库次克	伊尔库茨克
伊和路	伊河路
伊莉莎白	伊丽莎白
伊利诺伊州	伊利诺斯州
伊於胡底	伊于胡底
衣不敝体	衣不蔽体
衣带渐宽终不悔为伊消得人憔悴	衣带渐宽终不悔，为伊消得人憔悴
衣勾	衣钩
衣冠辐凑	衣冠辐辏
衣冠蓝缕	衣冠褴褛
衣冠绪馀	衣冠绪余
衣冠塚	衣冠冢
衣衿	衣襟
衣锦褧衣	衣锦絅衣
衣屩蓝缕	衣屩褴褛
衣来伸手饭来张口	衣来伸手，饭来张口
衣衫蓝缕	衣衫褴褛
衣衫烂缕	衣衫褴褛
衣随	依随
衣著	衣着
衣著华丽	衣着华丽
衣著华美	衣着华美
衣著简朴	衣着简朴
衣著朴素	衣着朴素
衣著鲜丽	衣着鲜丽
依艸附木	依草附木
依法砲制	依法炮制
依胡芦画瓢	依葫芦画瓢
依经傍註	依经傍注
依老卖老	倚老卖老
依丽莎白	伊丽莎白
依妹儿	伊妹儿
依山而据	依山而居
壹败涂地	一败涂地
壹倡三叹	一唱三叹
怡人口实	贻人口实
怡笑大方	贻笑大方
姨父	姨夫
贻患	遗患
贻患无穷	遗患无穷
贻患终身	遗患终身
移译	迻译
移罇就教	移樽就教
遗德馀烈	遗德余烈
遗恩馀烈	遗恩余烈
遗芳馀烈	遗芳余烈
遗芬賸馥	遗芬剩馥
遗芬馀荣	遗芬余荣
遗风遗译	遗风遗泽
遗风馀采	遗风余采
遗风馀教	遗风余教
遗风馀烈	遗风余烈
遗风馀思	遗风余思
遗风馀俗	遗风余俗
遗风馀習	遗风余习
遗风馀象	遗风余象
遗风馀韵	遗风余韵
遗风馀泽	遗风余泽
遗害	贻害
遗害无穷	贻害无穷
遗惠馀泽	遗惠余泽
遗孽馀烈	遗孽余烈
遗人口实	贻人口实
遗声馀价	遗声余价
遗失独立	遗世独立
遗误	贻误
遗误后学	贻误后学
遗误农时	贻误农时
遗误战机	贻误战机
遗象	遗像
遗笑	贻笑
遗笑大方	贻笑大方
遗休馀烈	遗休余烈
遗训馀风	遗训余风
遗音馀韵	遗音余韵
遗珠弃壁	遗珠弃璧
颐合园	颐和园
疑人勿用用人勿疑	疑人勿用，用人勿疑
疑则勿用用则勿疑	疑则勿用，用则勿疑
已诚相待	以诚相待
已此为荣	以此为荣
已次充好	以次充好
已德报怨	以德报怨
已法治税	以法治税
已防不测	以防不测
已防万一	以防万一
已工补农	以工补农
已工代赈	以工代赈
已观后效	以观后效
已假乱真	以假乱真
已旧换新	以旧换新
已礼相待	以礼相待
已利再战	以利再战
已少胜多	以少胜多
已身殉职	以身殉职
已胜利而告终	以胜利而告终
已失败而告终	以失败而告终
已势压人	以势压人
已所不欲	己所不欲
已所不欲，勿施于人	己所不欲，勿施于人
已小见大	以小见大
已逸待劳	以逸待劳
已赢利为目的	以赢利为目的
已资鼓励	以资鼓励
以暴治暴	以暴制暴
以冰止蝇	以冰致蝇
以代	以待
以丰补欠	以丰补歉
以付养农	以副养农
以骨去螘	以骨去蚁
以观後效	以观后效
以筦窥天	以管窥天
以极	以及
以儆效犹	以儆效尤
以敬效尤	以儆效尤
以老卖老	倚老卖老
以貍至鼠	以狸至鼠
以励再战	以利再战
以例说明	举例说明
以命相拚	以命相拼
以沫相儒	以沫相濡
以偏赅全	以偏概全
以偏盖全	以偏概全
以其昏昏使人昭昭	以其昏昏，使人昭昭
以其人之道，还治其人身	以其人之道，还治其人之身
以其人之道还治其人之身	以其人之道，还治其人之身
以肉餧虎	以肉喂虎
以身作责	以身作则
以身做则	以身作则
以筳撞锺	以筳撞钟
以铜为鉴可以正衣冠	以铜为鉴，可以正衣冠
以为後图	以为后图
以郄视文	以郤视文
以限还眼，以牙还牙	以眼还眼，以牙还牙
以小人之心度君子之腹	以小人之心，度君子之腹
以言徇物	以言殉物
以眼还眼以牙还牙	以眼还眼，以牙还牙
以噎废飡	以噎废餐
以已度人	以己度人
以逸代劳	以逸待劳
以致于	以至于
以锥飡壸	以锥餐壶
以子之矛攻子之盾	以子之矛，攻子之盾
以紫乱硃	以紫乱朱
以紫为硃	以紫为朱
倚傍	依傍
倚傍门户	依傍门户
倚草附木	依草附木
倚赖	依赖
倚赖成性	依赖成性
倚强凌弱	以强凌弱
倚山傍水	依山傍水
义不容词	义不容辞
义大利	意大利
义大利半岛	意大利半岛
义大利人	意大利人
义大利王国	意大利王国
义愤添膺	义愤填膺
义愤填鹰	义愤填膺
义气风发	意气风发
义气相投	意气相投
义气用事	意气用事
义万富翁	亿万富翁
义无返顾	义无反顾
义险固守	以险固守
义形於色	义形于色
义债累累	负债累累
义正辞严	义正词严
义正严词	义正词严
亦或	抑或
异彩分呈	异彩纷呈
异曲同功	异曲同工
抑彊扶弱	抑强扶弱
抑杨顿挫	抑扬顿挫
易如翻掌	易如反掌
易阳县	宜阳县
易於反掌	易于反掌
易於拾遗	易于拾遗
悒郁寡欢	抑郁寡欢
益智养成	益智养神
逸趣横生	异趣横生
逸兴惴飞	逸兴湍飞
意料之处	意料之外
意昧着	意味着
意前笔後	意前笔后
意然决然	毅然决然
意谓着	意味着
意尤未尽	意犹未尽
溢采流光	溢彩流光
溢於言表	溢于言表
溢於言外	溢于言外
肄无忌惮	肆无忌惮
毅然诀然	毅然决然
因才施教	因材施教
因小失人	因小失大
因咽废食	因噎废食
阴庇	荫庇
阴蔽	荫蔽
阴脣	阴唇
阴凉处	荫凉处
阴谋鬼计	阴谋诡计
阴沈地	阴沉地
阴翳	荫翳
阴着儿	阴招儿
姻亚	姻娅
音象	音像
氤氲靉叇	氤氲叆叇
絪缊	氤氲
慇懃	殷勤
银行存摺	银行存折
银行帐号	银行账号
银行帐户	银行账户
银样蜡枪头	银样镴枪头
银样鑞枪头	银样镴枪头
银圆	银元
夤吃卯粮	寅吃卯粮
霪雨	淫雨
尹凤岐	尹凤歧
引进人材	引进人才
引亢	引吭
引亢高歌	引吭高歌
引入岐途	引入歧途
引伸	引申
引伸触类	引申触类
引伸义	引申义
饮酖止渴	饮鸩止渴
饮鸠止渴	饮鸩止渴
饮水思沅	饮水思源
隐括	檃栝
隐茂	隐藏
隐茂着	隐藏着
隐慝	隐匿
隐慝实情	隐匿实情
隐土	隐士
隐性埋名地	隐姓埋名地
瘾君子	隐君子
印地安纳	印第安纳
印地安纳州	印第安纳州
印地安人	印第安人
印第安	印地安
廕子封妻	荫子封妻
应酬漩涡	应酬旋涡
应付帐款	应付账款
应接不遐	应接不暇
应接不瑕	应接不暇
应生虫	应声虫
应收帐单	应收账单
应收帐款	应收账款
英磅	英镑
英汉辞典	英汉词典
英特网	因特网
英雄倍出	英雄辈出
英雄气慨	英雄气概
英语薄	英语簿
英姿换发	英姿焕发
英姿涣发	英姿焕发
莺歌燕午	莺歌燕舞
莺吟燕儛	莺吟燕舞
嘤其鸣矣求其友声	嘤其鸣矣，求其友声
罂粟科	罂粟壳
膺品	赝品
鹰勾鼻	鹰钩鼻
迎侯	迎候
迎头敢上	迎头赶上
迎头趕上	迎头赶上
盈利能力	赢利能力
盈利性	赢利性
盈馀	盈余
荧火虫	萤火虫
萤光	荧光
萤光灯	荧光灯
萤光镜	荧光镜
萤光幕	荧光幕
萤光素	荧光素
营利性	赢利性
营私午弊	营私舞弊
营私舞敝	营私舞弊
营私舞蔽	营私舞弊
营营苟苟	蝇营狗苟
蝇萦狗苟	蝇营狗苟
嬴弱	羸弱
赢弱	羸弱
赢余	盈余
颖河路	颍河路
影蝶机	影碟机
影象	影像
影影踔踔	影影绰绰
映象	映像
硬帮帮	硬邦邦
硬梆梆	硬邦邦
硬拚	硬拼
硬臣	硬卧
硬磐	硬盘
拥包	拥抱
拥篲救火	拥彗救火
拥金	佣金
痈肿	臃肿
庸录	庸碌
庸容大度	雍容大度
庸庸录录	庸庸碌碌
庸庸碌录	庸庸碌碌
庸中皎皎	庸中佼佼
雍荣华贵	雍容华贵
雍荣闲雅	雍容娴雅
雍荣雅步	雍容雅步
雍容閒雅	雍容闲雅
雍容闲雅	雍容娴雅
永保青春	永葆青春
永往	勇往
永往直前	勇往直前
永无止尽	永无止境
用功夫	用工夫
用什麽	用什么
用无线电通讯	无线电通讯
优待俘掳	优待俘虏
优患余生	忧患余生
优会价	优惠价
优贤飏历	优贤扬历
优游岁月	悠悠岁月
优游自適	悠游自适
优游自在	悠游自在
优哉优哉	优哉悠哉
优哉游哉	优哉悠哉
忧患馀生	忧患余生
忧柔	优柔
忧柔寡断	优柔寡断
忧心重重	忧心忡忡
攸哉游哉	优哉优哉
幽曲黯味	幽曲黯昧
幽闲	悠闲
悠柔寡断	优柔寡断
悠哉悠哉	优哉优哉
悠哉游哉	优哉悠哉
尤如猛虎下山	犹如猛虎下山
由然而生	油然而生
由於	由于
犹犹予予	犹犹豫豫
犹予不决	犹豫不决
油菜子	油菜籽
油咀滑舌	油嘴滑舌
油茂	油藏
油乾灯尽	油干灯尽
油乾火尽	油干火尽
油嘴花脣	油嘴花唇
游刃有馀	游刃有余
游刃馀地	游刃余地
游手好閒	游手好闲
游手偷閒	游手偷闲
友坂理惠	友阪理惠
有蠙可乘	有玭可乘
有持无恐	有恃无恐
有胆有实	有胆有识
有个交代	有个交待
有咀无心	有嘴无心
有亏职守	有愧职守
有朋自远来，不亦乐乎	有朋自远方来，不亦乐乎
有色眼睛	有色眼镜
有身分	有身份
有甚么	有什么
有声力量	有生力量
有失身分	有失身份
有时侯	有时候
有所尊循	有所遵循
有所做为	有所作为
有条不纹	有条不紊
有一分热发一分光	有一分热，发一分光
有缘无份	有缘无分
有则改之，无则加免	有则改之，无则加勉
有则改之无则加勉	有则改之，无则加勉
有粘性	有黏性
有粘性的	有黏性的
有张有驰	有张有弛
有志者事竞成	有志者事竟成
